ticker,entry_date,exit_date,entry_price,exit_price,profit,return_pct,days_held
XLF,2025-04-30,2025-05-13,48.59,50.91,2.31,4.76,13
XLF,2025-05-14,2025-05-15,50.77,51.1,0.34,0.67,1
XLF,2025-05-19,2025-05-23,51.44,49.88,-1.56,-3.04,4
XLF,2025-05-28,2025-05-30,50.42,50.79,0.37,0.73,2
XLF,2025-06-02,2025-06-06,50.81,51.1,0.3,0.59,4
XLF,2025-06-09,2025-06-16,50.83,50.36,-0.47,-0.92,7
XLF,2025-06-17,2025-06-18,50.07,50.05,-0.02,-0.04,1
XLF,2025-06-25,2025-06-26,51.41,51.79,0.38,0.74,1
XLI,2020-08-05,2020-09-25,68.14,71.1,2.96,4.34,51
XLI,2020-09-29,2020-10-02,71.74,72.14,0.4,0.56,3
XLI,2020-10-05,2021-01-06,73.3,83.39,10.09,13.76,93
XLI,2021-01-07,2021-02-22,83.85,85.19,1.34,1.6,46
XLI,2021-02-23,2021-03-01,85.45,86.74,1.29,1.51,6
XLI,2021-03-02,2021-03-08,86.49,88.13,1.64,1.9,6
XLI,2021-03-09,2021-03-24,87.77,89.07,1.3,1.48,15
XLI,2021-03-25,2021-04-21,90.49,94.53,4.04,4.47,27
XLI,2021-04-22,2021-04-23,94.06,95.09,1.03,1.09,1
XLI,2021-04-26,2021-05-13,94.8,96.71,1.91,2.01,17
XLI,2021-05-14,2021-07-15,98.05,96.57,-1.48,-1.51,62
XLI,2021-07-16,2021-07-20,95.71,96.33,0.62,0.65,4
XLI,2021-07-21,2021-08-24,97.25,97.67,0.41,0.42,34
XLI,2021-08-25,2021-09-15,98.3,95.9,-2.39,-2.44,21
XLI,2021-09-16,2021-09-22,95.25,93.39,-1.85,-1.94,6
XLI,2021-09-24,2021-09-27,95.03,95.12,0.09,0.1,3
XLI,2021-09-28,2021-10-28,94.02,98.43,4.41,4.69,30
XLI,2021-10-29,2021-12-02,98.45,96.41,-2.04,-2.08,34
XLI,2021-12-03,2021-12-07,96.3,98.93,2.63,2.73,4
XLI,2021-12-08,2021-12-21,99.17,96.87,-2.3,-2.32,13
XLI,2021-12-22,2021-12-23,97.14,98.29,1.14,1.18,1
XLI,2021-12-29,2021-12-31,100.01,100.07,0.07,0.07,2
XLI,2022-01-03,2022-01-04,99.25,101.25,2.0,2.01,1
XLI,2022-01-05,2022-01-31,100.28,95.28,-5.0,-4.99,26
XLI,2022-02-01,2022-02-25,96.59,93.76,-2.84,-2.94,24
XLI,2022-03-01,2022-03-02,93.07,95.05,1.99,2.13,1
XLI,2022-03-03,2022-03-17,95.16,96.9,1.74,1.83,14
XLI,2022-03-18,2022-04-11,97.27,94.21,-3.05,-3.14,24
XLI,2022-04-12,2022-04-13,94.06,94.94,0.88,0.94,1
XLI,2022-04-14,2022-04-19,94.84,96.22,1.39,1.46,5
XLI,2022-04-20,2022-05-04,96.74,93.71,-3.04,-3.14,14
XLI,2022-05-05,2022-05-26,91.26,88.77,-2.49,-2.72,21
XLI,2022-05-27,2022-06-07,90.6,92.28,1.68,1.85,11
XLI,2022-06-08,2022-06-22,90.61,82.22,-8.39,-9.26,14
XLI,2022-06-23,2022-06-24,81.8,84.66,2.86,3.5,1
XLI,2022-06-27,2022-07-12,84.45,82.97,-1.49,-1.76,15
XLI,2022-07-13,2022-07-19,81.96,85.21,3.25,3.97,6
XLI,2022-07-20,2022-07-28,85.87,89.32,3.45,4.02,8
XLI,2022-08-01,2022-08-05,91.25,91.61,0.36,0.4,4
XLI,2022-08-08,2022-08-15,91.58,95.39,3.8,4.15,7
XLI,2022-08-17,2022-08-25,95.05,94.31,-0.74,-0.78,8
XLI,2022-08-26,2022-09-07,91.04,89.39,-1.65,-1.81,12
XLI,2022-09-08,2022-09-19,89.66,86.18,-3.48,-3.88,11
XLI,2022-09-20,2022-09-28,85.11,81.8,-3.3,-3.88,8
