date,ticker,action,price,quantity,entry_price,exit_price,signal,profit,stop_loss,take_profit
2023-05-30,UNG,SELL,25.31999969482422,8805,26.559999465942383,25.31999969482422,SELL,-10918.197984695435,25.23199949264526,27.887999439239504
2023-06-02,UNG,BUY,23.920000076293945,9321,23.920000076293945,,BUY,,22.724000072479246,25.116000080108645
2023-06-05,UNG,SELL,24.71999931335449,9321,23.920000076293945,24.71999931335449,SELL,7456.792888641325,22.724000072479246,25.116000080108645
2023-06-06,UNG,BUY,24.84000015258789,9276,24.84000015258789,,BUY,,23.598000144958494,26.082000160217287
2023-06-07,UNG,SELL,25.559999465942383,9276,24.84000015258789,25.559999465942383,SELL,6678.7136306762695,23.598000144958494,26.082000160217287
2023-06-08,UNG,BUY,25.68000030517578,9233,25.68000030517578,,BUY,,24.39600028991699,26.96400032043457
2023-06-15,UNG,SELL,28.07999992370605,9233,25.68000030517578,28.07999992370605,SELL,22159.196477889982,24.39600028991699,26.96400032043457
2023-06-21,UNG,BUY,28.559999465942383,9077,28.559999465942383,,BUY,,27.131999492645264,29.987999439239502
2023-06-22,UNG,SELL,28.68000030517578,9077,28.559999465942383,28.68000030517578,SELL,1089.2476177215576,27.131999492645264,29.987999439239502
2023-06-26,UNG,BUY,30.799999237060547,8453,30.799999237060547,,BUY,,29.25999927520752,32.339999198913574
2023-06-27,UNG,SELL,29.8799991607666,8453,30.799999237060547,29.8799991607666,SELL,-7776.76064491272,29.25999927520752,32.339999198913574
2023-06-29,UNG,BUY,28.71999931335449,8794,28.71999931335449,,BUY,,27.283999347686763,30.155999279022215
2023-06-30,UNG,SELL,29.68000030517578,8794,28.71999931335449,29.68000030517578,SELL,8442.248722076447,27.283999347686763,30.155999279022215
2023-07-03,UNG,BUY,28.959999084472656,9013,28.959999084472656,,BUY,,27.511999130249023,30.40799903869629
2023-07-06,UNG,SELL,28.15999984741211,9013,28.959999084472656,28.15999984741211,SELL,-7210.393123626709,27.511999130249023,30.40799903869629
2023-07-07,UNG,BUY,27.440000534057617,9249,27.440000534057617,,BUY,,26.068000507354736,28.8120005607605
2023-07-14,UNG,SELL,27.15999984741211,9249,27.440000534057617,27.15999984741211,SELL,-2589.7263507843018,26.068000507354736,28.8120005607605
2023-07-17,UNG,BUY,27.07999992370605,9276,27.07999992370605,,BUY,,25.725999927520746,28.433999919891356
2023-07-27,UNG,SELL,28.0,9276,27.07999992370605,28.0,SELL,8533.92070770267,25.725999927520746,28.433999919891356
2023-07-31,UNG,BUY,28.440000534057617,9133,28.440000534057617,,BUY,,27.018000507354735,29.8620005607605
2023-08-09,UNG,SELL,31.8799991607666,9133,28.440000534057617,31.8799991607666,SELL,31417.507457733154,27.018000507354735,29.8620005607605
2023-08-11,UNG,BUY,29.959999084472656,9718,29.959999084472656,,BUY,,28.461999130249023,31.45799903869629
2023-08-24,UNG,SELL,26.959999084472656,9718,29.959999084472656,26.959999084472656,SELL,-29154.0,28.461999130249023,31.45799903869629
2023-08-25,UNG,BUY,27.440000534057617,9548,27.440000534057617,,BUY,,26.068000507354736,28.8120005607605
2023-08-28,UNG,SELL,27.39999961853028,9548,27.440000534057617,27.39999961853028,SELL,-381.92874145501025,26.068000507354736,28.8120005607605
2023-08-29,UNG,BUY,27.440000534057617,9534,27.440000534057617,,BUY,,26.068000507354736,28.8120005607605
2023-08-30,UNG,SELL,28.799999237060547,9534,27.440000534057617,28.799999237060547,SELL,12966.227634429932,26.068000507354736,28.8120005607605
2023-08-31,UNG,BUY,28.440000534057617,9655,28.440000534057617,,BUY,,27.018000507354735,29.8620005607605
2023-09-12,UNG,SELL,28.200000762939453,9655,28.440000534057617,28.200000762939453,SELL,-2317.197790145874,27.018000507354735,29.8620005607605
2023-09-13,UNG,BUY,27.799999237060547,9794,27.799999237060547,,BUY,,26.409999275207518,29.189999198913576
2023-09-21,UNG,SELL,26.479999542236328,9794,27.799999237060547,26.479999542236328,SELL,-12928.077011108398,26.409999275207518,29.189999198913576
2023-09-22,UNG,BUY,26.799999237060547,9677,26.799999237060547,,BUY,,25.45999927520752,28.139999198913575
2023-10-04,UNG,SELL,27.920000076293945,9677,26.799999237060547,27.920000076293945,SELL,10838.248121261597,25.45999927520752,28.139999198913575
2023-10-09,UNG,BUY,31.520000457763672,8572,31.520000457763672,,BUY,,29.944000434875488,33.09600048065186
2023-10-11,UNG,SELL,31.600000381469727,8572,31.520000457763672,31.600000381469727,SELL,685.7593460083008,29.944000434875488,33.09600048065186
2023-10-12,UNG,BUY,31.200000762939453,8682,31.200000762939453,,BUY,,29.64000072479248,32.76000080108643
2023-10-16,UNG,SELL,29.1200008392334,8682,31.200000762939453,29.1200008392334,SELL,-18058.559337615967,29.64000072479248,32.76000080108643
2023-10-17,UNG,BUY,28.71999931335449,8802,28.71999931335449,,BUY,,27.283999347686763,30.155999279022215
2023-10-26,UNG,SELL,29.239999771118164,8802,28.71999931335449,29.239999771118164,SELL,4577.044029235871,27.283999347686763,30.155999279022215
2023-10-27,UNG,BUY,28.799999237060547,8937,28.799999237060547,,BUY,,27.359999275207517,30.239999198913576
2023-11-06,UNG,SELL,27.280000686645508,8937,28.799999237060547,27.280000686645508,SELL,-13584.227045059204,27.359999275207517,30.239999198913576
2023-11-07,UNG,BUY,26.440000534057617,9221,26.440000534057617,,BUY,,25.118000507354736,27.762000560760498
2023-11-08,UNG,SELL,26.15999984741211,9221,26.440000534057617,26.15999984741211,SELL,-2581.8863315582275,25.118000507354736,27.762000560760498
2023-11-09,UNG,BUY,25.36000061035156,9512,25.36000061035156,,BUY,,24.09200057983398,26.62800064086914
2023-11-13,UNG,SELL,26.8799991607666,9512,25.36000061035156,26.8799991607666,SELL,14458.226211547886,24.09200057983398,26.62800064086914
2023-11-14,UNG,BUY,25.84000015258789,9895,25.84000015258789,,BUY,,24.548000144958493,27.132000160217288
2023-11-16,UNG,SELL,25.479999542236328,9895,25.84000015258789,25.479999542236328,SELL,-3562.206039428711,24.548000144958493,27.132000160217288
2023-11-20,UNG,BUY,23.959999084472656,10522,23.959999084472656,,BUY,,22.761999130249023,25.15799903869629
2023-11-28,UNG,SELL,22.07999992370605,10522,23.959999084472656,22.07999992370605,SELL,-19781.351169586218,22.761999130249023,25.15799903869629
2023-11-29,UNG,BUY,22.040000915527344,10542,22.040000915527344,,BUY,,20.938000869750976,23.14200096130371
2023-12-05,UNG,SELL,21.36000061035156,10542,22.040000915527344,21.36000061035156,SELL,-7168.563217163123,20.938000869750976,23.14200096130371
2023-12-07,UNG,BUY,20.280000686645508,11103,20.280000686645508,,BUY,,19.26600065231323,21.294000720977785
2023-12-11,UNG,SELL,19.239999771118164,11103,20.280000686645508,19.239999771118164,SELL,-11547.130165100098,19.26600065231323,21.294000720977785
2023-12-12,UNG,BUY,18.07999992370605,11815,18.07999992370605,,BUY,,17.17599992752075,18.983999919891353
