date,cash,market_value,total_value
2024-10-28,21.064338683965616,213257.47930908203,213278.543647766
2024-10-29,216040.62641143787,0.0,216040.62641143787
2024-10-30,183.03119659415097,215857.59521484372,216040.62641143787
2024-10-31,208951.02436065668,0.0,208951.02436065668
2024-11-01,208951.02436065668,0.0,208951.02436065668
2024-11-04,208951.02436065668,0.0,208951.02436065668
2024-11-05,208951.02436065668,0.0,208951.02436065668
2024-11-06,208951.02436065668,0.0,208951.02436065668
2024-11-07,161.32132720941445,208789.70303344727,208951.02436065668
2024-11-08,207092.23404693598,0.0,207092.23404693598
2024-11-11,45.39771270743222,207046.83633422854,207092.23404693598
2024-11-12,209164.31137847883,0.0,209164.31137847883
2024-11-13,209164.31137847883,0.0,209164.31137847883
2024-11-14,10.595603942725575,209153.7157745361,209164.31137847883
2024-11-15,200391.88620758045,0.0,200391.88620758045
2024-11-18,103.7892379759578,200288.0969696045,200391.88620758045
2024-11-19,203281.5198440551,0.0,203281.5198440551
2024-11-20,203281.5198440551,0.0,203281.5198440551
2024-11-21,203281.5198440551,0.0,203281.5198440551
2024-11-22,50.80487823477597,203230.7149658203,203281.5198440551
2024-11-25,207745.75173187247,0.0,207745.75173187247
2024-11-26,207745.75173187247,0.0,207745.75173187247
2024-11-27,154.08618926990312,207591.66554260257,207745.75173187247
2024-11-29,209915.09557342518,0.0,209915.09557342518
2024-12-02,47.9288864134578,209867.16668701172,209915.09557342518
2024-12-03,212634.17131805408,0.0,212634.17131805408
2024-12-04,146.32775115963886,212487.84356689444,212634.17131805408
2024-12-05,214962.03072357175,0.0,214962.03072357175
2024-12-06,214962.03072357175,0.0,214962.03072357175
2024-12-09,176.5342025756254,214785.49652099612,214962.03072357175
2024-12-10,176.5342025756254,213787.99362182617,213964.5278244018
2024-12-11,218923.52898406982,0.0,218923.52898406982
2024-12-12,28.20781707763672,218895.3211669922,218923.52898406982
2024-12-13,28.20781707763672,217451.76641845703,217479.97423553467
2024-12-16,222709.2808151245,0.0,222709.2808151245
2024-12-17,222709.2808151245,0.0,222709.2808151245
2024-12-18,204.59650421145489,222504.68431091306,222709.2808151245
2024-12-19,204.59650421145489,225299.603225708,225504.19972991946
2024-12-20,227148.87465667728,0.0,227148.87465667728
2024-12-23,63.337120056239655,227085.53753662104,227148.87465667728
2024-12-24,231174.79019927987,0.0,231174.79019927987
2024-12-26,37.88709259041934,231136.90310668945,231174.79019927987
2024-12-27,227815.38709259042,0.0,227815.38709259042
2024-12-30,227815.38709259042,0.0,227815.38709259042
2024-12-31,88.56772613534122,227726.81936645508,227815.38709259042
2025-01-02,88.56772613534122,228588.36126708984,228676.92899322518
2025-01-03,232797.79026031503,0.0,232797.79026031503
2025-01-06,232797.79026031503,0.0,232797.79026031503
2025-01-07,26.509620666562114,232771.28063964847,232797.79026031503
2025-01-08,232818.75473785406,0.0,232818.75473785406
2025-01-10,232818.75473785406,0.0,232818.75473785406
2025-01-13,232818.75473785406,0.0,232818.75473785406
2025-01-14,33.32061004638672,232785.43412780768,232818.75473785406
2025-01-15,238794.47713470456,0.0,238794.47713470456
2025-01-16,40.3531723023043,238754.12396240226,238794.47713470456
